TW,LW,PP,WOC,Title Artist
117,-111,6,52,Federico Fellini – Galibri & Mavik
118,new,118,1,8th Color – Motor'Rolla
119,37,43,166,Viryla – Antytila
120,new,120,1,Cobra – Islam Itlyashev
121,-67,54,76,Follow You – Imagine Dragons
122,new,122,1,What A Cossack You Are – Anna Trincher & Positiff
123,new,123,1,Live – Yuliya Roznen
124,new,124,1,Faded – Junona Boys
125,46,125,38,Taxi – Kalush feat. Khrystyna Soloviy
126,-106,20,101,The Business – Tiesto
127,new,127,1,2step – Ed Sheeran feat. Lil Baby
128,new,128,1,People Are Like Ships – Antytila
129,new,129,1,Chornobaivka – Jalsomino
130,-111,19,115,Kobra – The Hardkiss feat. Monatik
131,62,131,41,Let's Be Honest – Kalush & Skofka
132,-83,47,65,3 To 1 – Monoir feat. Eneli
133,-102,30,76,#BezTebeMeneNema – Okean El`zy
134,new,134,1,As It Was – Harry Styles
135,new,135,1,The Cossacks Are Leaving – Probass ∆ Hardi & Probass ∆ Hardi feat. Anna Bulat
136,new,136,1,Vzhe Ne Sam – Druha Rika
137,new,137,1,Son – MamaRika
138,-112,26,51,Shum – Go_A
139,-124,15,87,Flashbacks – Inna
140,new,140,1,How Are You? – The Hardkiss
141,re,141,5,"Hto, Yak Ne Ty? – Khrystyna Soloviy"
142,new,142,1,Sleep To Yourself – Skryabin
143,14,143,54,Regardless – Raye & Rudimental
144,new,144,1,You Made Me Coffee – Anna Trincher & MBreeze
145,-84,21,130,Maemo – MamaRika
146,new,146,1,Hey Hey Rise Up – Pink Floyd feat. Andriy Khlyvnyuk
147,new,147,1,Murder In My Mind – Kordhell
148,-119,29,87,Astronaut In The Ocean – Masked Wolf
149,-133,16,96,Poruch – Kazka & Alekseev
150,-92,58,51,Beggin' – Måneskin
151,-94,54,59,Body Talks – Burak Yeter
152,-140,12,71,Sense – NK
153,new,153,1,I'm Ukraine – NK
154,-136,18,60,Rendezvous – Artem Pivovarov
155,new,155,1,Astral Step – Shadowraze
156,re,156,5,Trymay – Khrystyna Soloviy
157,new,157,1,Sweater Weather – The Neighbourhood
158,new,158,1,Shampansʹki Ochi – Pianoboy
159,new,159,1,She – Plach Yeremiyi & Taras Chubay
160,new,160,1,Harmony – Artik & Asti
161,20,1,187,Cried – Kazka
162,-130,32,49,Baby Mama – Scriptonite & Rayda
163,new,163,1,Everything Will Be Fine – Okean El`zy
164,new,164,1,Glory To Heroes – Oleg Skrypka
165,new,165,1,There By The Poplar Tree – Artem Pivovarov & NK
166,new,166,1,Showdown – Shadowraze
167,new,167,1,24/02 – Bez obmezhen'
168,-160,8,52,Birdie – HammAli & Navai
