id,song,artist,week,valence,track_id,lyrics
853,Живи,YULIYA ROZNEN,2023-03-03,0.255,4gAftAo7JKij3ubl7iLQEZ,
854,Молюся і вірю,"IKSIY, SESTRA, BITZ",2023-03-03,0.547,32EazktY43tJKcjNnWrntm,
855,Моя Украïна,"TamerlanAlena, Andi Vax",2023-03-03,0.442,5vmTyrE2mSg9wvAFNLRaOr,
856,На белом,"Kaspiyskiy Gruz, Gio Pika",2023-03-03,0.675,5scQN08xNRz7Qm7YkBoLdl,
857,As It Was,Harry Styles,2023-03-03,0.662,4Dvkj6JhhA12EX05fT7y2e,
858,Мрієшся,CHEEV,2023-03-03,0.326,6BGf2maOpSS5aznYkv9BfR,
859,Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",2023-03-03,0.502,3sa06xVNmLLYIxdNNmVQN8,
860,Пишу тобі листа - Rap Edition,"Ivan NAVI, ХАС",2023-03-03,0.422,48xn7zMEnr2goU2WX0Njn3,
861,"Там, де",Ivan NAVI,2023-03-03,0.814,3mYqEtddAhUoLHkPLdARQn,
862,Won't Forget You (Edit),Shouse,2023-03-03,0.555,3I10tZ5MgEMo4WryCNJkZQ,
863,Fool Me Once,Olivia Addams,2023-03-03,0.609,2ceMvjyfDeGVFmscZY438U,
864,Лампочки,MASHA DANILOVA,2023-03-03,0.273,5VR3B1lFGb5PBYqZ1Bszun,
865,Джеральдіна,Arsen Mirzoyan,2023-03-03,0.323,0S5xP1mN9mqQlmklHyJeJL,
866,The Motto - Robert Georgescu & White Remix,"Tiësto, Ava Max, Robert Georgescu & White",2023-03-03,0.828,6jiiZursE0NfrjmThWe8f6,
867,In The Shadows Of Ukraine (feat. The Rasmus),"KALUSH, Kalush Orchestra, The Rasmus",2023-03-03,0.758,5dSOtyf70O6fG1xm4xFeTD,
868,Залужний,The Borsch,2023-03-03,0.705,39s5QxB2K3VRkoQhhFtlLF,
869,Ocean Drive,Duke Dumont,2023-03-03,0.624,4b93D55xv3YCH5mT4p6HPn,
870,Changes,"KALUSH, Kalush Orchestra",2023-03-03,0.799,3BBC1QD0gNf0Vd4cQX2pif,
871,Отключаю телефон,INSTASAMKA,2023-03-03,0.426,7qwlUHDJI8aKwpuYVzuvoe,
872,Ну ж бо,KOZAK SIROMAHA,2023-03-03,0.197,0ECRHefbQyLL1n0yAVEsQ7,
873,Rampampam,Minelli,2023-03-03,0.437,1esZgaqm0YKN87CIP3orJ3,
874,Alugalug Cat (Symphonic Mashup),The Kiffness,2023-03-03,0.519,4V9kve9oiv2k4zyY0JEwqP,
875,Свята Джавеліна,TaRuta,2023-03-03,0.967,3QhPhr3hTKp8e07xKpulWz,
876,Воїни світла,Lyapis Trubetskoy,2023-03-03,0.403,64hFcUEAhSODWUm4ZtqEaH,
877,Народна,ЛЮСЯ КАВА,2023-03-03,0.489,4GU8TwA4SywyeUxHV0hmt1,
878,На небі,Okean Elzy,2023-03-03,0.548,307BZpDAtO3OwRs2wrV1S9,
879,Фортеця Бахмут,Antytila,2023-03-10,0.595,44FopWyaddRoiuNrD8hlUw,
880,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-03-10,0.702,5F9CLUvuRyku0ZdT4ljPQt,
