id,song,artist,week,valence,track_id,lyrics
1042,Лелека,"MamaRika, YAKTAK",2023-03-17,0.542,13gy7wNdXhofTQyWHK1UbP,
1043,Окупанту,MBreeze,2023-03-17,0.968,09NXCjWIBMQDQLOv6AMyDN,
1044,"Там, де",Ivan NAVI,2023-03-17,0.814,3mYqEtddAhUoLHkPLdARQn,
1045,Won't Forget You (Edit),Shouse,2023-03-17,0.555,3I10tZ5MgEMo4WryCNJkZQ,
1046,Добрий день Everybody,"Мюслі UA, VASIA CHARISMA",2023-03-17,0.572,7xIlDDAM1RpASn4o16S2F3,
1047,"Гей, соколи!","Олександр Пономарьов, Mykhailo Khoma",2023-03-17,0.25,52svW6CzofE8R7hXXwGgxR,
1048,Місяць на небі,Artem Pivovarov,2023-03-17,0.0396,2qj7j73NDERMoiTC5kJdzH,
1049,Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",2023-03-17,0.0348,2prnn41CblB8B4yWACDljP,
1050,На белом,"Kaspiyskiy Gruz, Gio Pika",2023-03-17,0.675,5scQN08xNRz7Qm7YkBoLdl,
1051,Молюся і вірю,"IKSIY, SESTRA, BITZ",2023-03-17,0.547,32EazktY43tJKcjNnWrntm,
1052,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,2023-03-17,0.468,05eZlxyjbkHMPCnunUasCS,
1053,Свята Джавеліна,TaRuta,2023-03-17,0.967,3QhPhr3hTKp8e07xKpulWz,
1054,Живи,YULIYA ROZNEN,2023-03-17,0.255,4gAftAo7JKij3ubl7iLQEZ,
1055,Залужний,The Borsch,2023-03-17,0.705,39s5QxB2K3VRkoQhhFtlLF,
1056,Воїни світла,Lyapis Trubetskoy,2023-03-17,0.403,64hFcUEAhSODWUm4ZtqEaH,
1057,MIDDLE OF THE NIGHT,Elley Duhé,2023-03-17,0.0899,58HvfVOeJY7lUuCqF0m3ly,
1058,Rampampam,Minelli,2023-03-17,0.437,1esZgaqm0YKN87CIP3orJ3,
1059,Листопадом,Gio Pika,2023-03-17,0.526,4RARkHhFbZFR7A2C5ySla2,
1060,Жовті мальви,Wellboy,2023-03-17,0.527,0AOdFwG2mTBtF4NFCqYvpl,
1061,Мрієшся,CHEEV,2023-03-17,0.326,6BGf2maOpSS5aznYkv9BfR,
1062,Faded,Junona Boys,2023-03-17,0.427,7iVP7dTyBp7PzFxMdqbrug,
1063,abcdefu,GAYLE,2023-03-17,0.415,4fouWK6XVHhzl78KzQ1UjL,
1064,ily (i love you baby) (Topic Remix) [feat. Emilee],"Surf Mesa, Topic, Emilee",2023-03-17,0.589,4TpXLhpLYQPMHM1A8W9J84,
1065,Фортеця Бахмут,Antytila,2023-03-24,0.595,44FopWyaddRoiuNrD8hlUw,
1066,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-03-24,0.702,5F9CLUvuRyku0ZdT4ljPQt,
1067,Пробач,YAKTAK,2023-03-24,0.134,5pN1b9d11LxVNg24kIvyiE,
1068,Flowers,Miley Cyrus,2023-03-24,0.632,7DSAEUvxU8FajXtRloy8M0,
1069,Там у тополі,"Artem Pivovarov, NK",2023-03-24,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
1070,Додому,Wellboy,2023-03-24,0.219,6gtK39SLszESqJFu2SkId3,
1071,Чути гімн,SKOFKA,2023-03-24,0.422,4Yzlz45QgjUKZmN2KrK4AP,
1072,Щоб не було,DOROFEEVA,2023-03-24,0.381,7krNeHssTmY3ijTox4OBbD,
1073,Біля серця,KOLA,2023-03-24,0.598,20SSuP71R4A88qHQu4BKY6,
1074,вотсап,DOROFEEVA,2023-03-24,0.142,7iGdK8FeeKfWiLR3Ax6phw,
1075,Батьківщина,"SKOFKA, KALUSH",2023-03-24,0.502,33s2G0h9EOdyaKlKr15ngE,
1076,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-03-24,0.492,2TTuBKeQWoukafWDPufIlq,
1077,High Come Down,Chico & Coolwadda,2023-03-24,0.667,4gc19xZ8SvONdW6ZVHlYSO,
1078,Рандеву,Artem Pivovarov,2023-03-24,0.684,3R02XSW0lDknR5ZVFiTVrc,
1079,Кукла колдуна,Korol i Shut,2023-03-24,0.635,2DYzsMQpO7xOw7b3JwyIWP,
1080,Парова Машина,"TeeKai, Ярина Квасній",2023-03-24,0.381,0YhWCf8ZpfW03yzRuF3nsO,
1081,Маніфест,Artem Pivovarov,2023-03-24,0.422,0pWMr82unREASQGFJrrI5S,
1082,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-03-24,0.336,64Qnw6jO2dnkjV9una5peq,
1083,Гарно так,CHEEV,2023-03-24,0.798,3yRDM5tBS7H8HG64y3x9kw,
1084,Shot a friend,Holy Molly,2023-03-24,0.463,27yUNsQo2CPPokNw69M23X,
1085,Вишнi,Wellboy,2023-03-24,0.635,1xHs6PLjlvqihewyitoP3A,
1086,Повільно,Adam,2023-03-24,0.481,0NYvacFqoJdJggiOynzbur,
1087,Heavy Metal Love,twocolors,2023-03-24,0.457,07VcTAooOBP8hIluuUS5xr,
1088,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-03-24,0.678,04M7w39gAe2CUkf9AXJKCZ,
1089,Два вікна,The Hardkiss,2023-03-24,0.219,3gwHKlGINfCgBwBeEJ101L,
1090,Троянди,100лиця,2023-03-24,0.306,3pube0HS3OSWDVIpQfU0Q0,
1091,Відьма,Vsivdoma,2023-03-24,0.667,2oU2e0WRQAoBnCnNvcsu0x,
1092,Voin,"YARMAK, TARABAROVA",2023-03-24,0.358,6mxPj26zVw51cqeRxxNOed,
1093,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-03-24,0.707,7HxWZggiHyGWT9ZSmWzcxu,
1094,Невідомий Герой,PTASHKIN,2023-03-24,0.562,0fDfRB7OwD9HU6eXiqY7fY,
1095,Пишу тобі листа - Rap Edition,"Ivan NAVI, ХАС",2023-03-24,0.422,48xn7zMEnr2goU2WX0Njn3,
1096,Листопадом,Gio Pika,2023-03-24,0.526,4RARkHhFbZFR7A2C5ySla2,
1097,Незламна,ЛЮСЯ КАВА,2023-03-24,0.276,3uFBrdXhDkmuN6xxUgS9rs,
1098,Гуляли,KOZAK SIROMAHA,2023-03-24,0.675,6xnczQ0seXKiu4sPnYEyui,
1099,Хай нам брате пощастить,YARMAK,2023-03-24,0.551,3xsJI27A38XFbE3CsUGwXi,
1100,Fool Me Once,Olivia Addams,2023-03-24,0.609,2ceMvjyfDeGVFmscZY438U,
1101,"Мова вітру - З м/ф ""Мавка. Лісова пісня""","Artem Pivovarov, Khrystyna Soloviy",2023-03-24,0.214,7n1uVnlAdVdp6w7NNQr7oD,
1102,Бахмут,Spiv Brativ,2023-03-24,0.524,1w8Dgp27eGiKu51jZHFSsZ,
1103,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-03-24,0.348,4iwY29UTTw5N9ZGtMsAqCF,
1104,Враже (енджі крейда cover),Damidas,2023-03-24,0.12,0ekzVQWGaD6oHBINV8JY5h,
1105,По барам,ANNA ASTI,2023-03-24,0.428,4zOLAk87gHl97sbqmntbJG,
1106,Кружит,MONATIK,2023-03-24,0.694,2MvXw1lGFDRasfQviQptIh,
1107,Чорне і біле,ZOZULYA,2023-03-24,0.139,7inT18SoRHT6PEE0F9J8Xs,
1108,MMM,Minelli,2023-03-24,0.661,2wtjKTnfYimgKi9cPxPBPV,
1109,Не забудем і не пробачим,SKOFKA,2023-03-24,0.543,6KvQKU21c1ZGEoOajKfim0,
1110,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-03-24,0.155,15JdrESbhLychHaiQ5Grfg,
1111,Враже (енджі крейда cover),Damidas,2023-03-24,0.12,0ekzVQWGaD6oHBINV8JY5h,
